STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-04-2003,40,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-11-2003,41,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-18-2003,42,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-25-2003,43,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-01-2003,44,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-08-2003,45,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-15-2003,46,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-22-2003,47,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-29-2003,48,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-06-2003,49,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-13-2003,50,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-20-2003,51,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-27-2003,52,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-03-2004,53,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-10-2004,1,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-17-2004,2,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-24-2004,3,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Jan-31-2004,4,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Feb-07-2004,5,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Feb-14-2004,6,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Feb-21-2004,7,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Feb-28-2004,8,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Mar-06-2004,9,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Mar-20-2004,11,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Mar-27-2004,12,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-03-2004,13,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-10-2004,14,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-17-2004,15,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-24-2004,16,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-01-2004,17,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-08-2004,18,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-15-2004,19,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-22-2004,20,2003-04
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-09-2004,40,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-16-2004,41,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-23-2004,42,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-30-2004,43,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-06-2004,44,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-13-2004,45,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-20-2004,46,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-27-2004,47,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-04-2004,48,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-11-2004,49,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-18-2004,50,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-25-2004,51,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-01-2005,52,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-08-2005,1,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-15-2005,2,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-22-2005,3,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-29-2005,4,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Feb-05-2005,5,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-12-2005,6,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-19-2005,7,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-26-2005,8,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-05-2005,9,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-12-2005,10,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-19-2005,11,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-26-2005,12,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-02-2005,13,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-09-2005,14,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-16-2005,15,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-23-2005,16,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-30-2005,17,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-07-2005,18,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-14-2005,19,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-21-2005,20,2004-05
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-08-2005,40,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-15-2005,41,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-22-2005,42,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-29-2005,43,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-05-2005,44,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-12-2005,45,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-19-2005,46,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-26-2005,47,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-03-2005,48,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-10-2005,49,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-17-2005,50,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Dec-24-2005,51,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Dec-31-2005,52,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-07-2006,1,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-14-2006,2,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-21-2006,3,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Jan-28-2006,4,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-04-2006,5,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-11-2006,6,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-18-2006,7,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-25-2006,8,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-04-2006,9,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Mar-11-2006,10,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-18-2006,11,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-25-2006,12,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-01-2006,13,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-08-2006,14,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-15-2006,15,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-22-2006,16,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Apr-29-2006,17,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-06-2006,18,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-13-2006,19,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,May-20-2006,20,2005-06
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Oct-07-2006,40,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-14-2006,41,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-21-2006,42,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-28-2006,43,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",No Activity,Nov-04-2006,44,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-11-2006,45,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-18-2006,46,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Nov-25-2006,47,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-02-2006,48,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-09-2006,49,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-16-2006,50,2006-07
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-23-2006,51,2006-07
