Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
Anthrax,2014,1,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,1,,-,,-,,-,81,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,1,,-,,-,0,,6,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,1,,-,,-,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,1,,-,,-,0,,,-,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,1,1,,1,,3,,131,,168,,153,,112,,118,,
"Botulism, foodborne",2014,1,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,1,,-,,-,2,,115,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,1,1,,1,,1,,11,,18,,32,,25,,25,,CA (1 )
Brucellosis,2014,1,,-,,-,2,,93,,114,,79,,115,,115,,
Chancroid,2014,1,,-,,-,0,,12,,15,,8,,24,,28,,
Cholera,2014,1,,-,,-,1,,2,,17,,40,,13,,10,,
Cyclosporiasis§,2014,1,,-,,-,2,,663,,123,,151,,179,,141,,
Diphtheria,2014,1,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,1,,-,,-,1,,19,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,1,,-,,-,4,,172,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,1,3,,3,,6,,213,,210,,226,,223,,178,,"GA (1 ), FL (1 ), MS (1 )"
Hansen disease§,2014,1,,-,,-,2,,52,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,1,,-,,-,0,,12,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,1,,-,,-,5,,229,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,1,,-,,-,2,,46,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,1,4,,1,,3,,164,,52,,118,,61,,358,,"OR (1 ), MS (1 ), TX (1 ), WV (1 )"
Leptospirosis,2014,1,,-,,-,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,1,3,,3,,15,,647,,727,,870,,821,,851,,"PA (1 ), OH (1 ), FL (1 )"
Measles§§,2014,1,1,,1,,1,,184,,55,,220,,63,,71,,CA (1 )
