Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
Anthrax,2015,1,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, California serogroup virus disease**,††",2015,1,,-,,-,0,,80,,95,,81,,137,,75,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,1,,NN,,NN,0,,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,1,,-,,-,0,,8,,8,,15,,4,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,1,,-,,-,,-,8,,12,,7,,16,,8,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,1,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,1,,-,,-,3,,141,,152,,168,,153,,112,,
"Botulism, foodborne",2015,1,,-,,-,0,,11,,4,,27,,24,,7,,
"Botulism, infant",2015,1,,-,,-,2,,111,,136,,123,,97,,80,,
"Botulism, other (wound and unspecified)",2015,1,,-,,-,0,,19,,12,,18,,32,,25,,
Brucellosis,2015,1,,-,,-,2,,85,,99,,114,,79,,115,,
Chancroid,2015,1,,-,,-,0,,17,,,-,15,,8,,24,,
Cholera,2015,1,,-,,-,1,,,-,14,,17,,40,,13,,
Cyclosporiasis††,2015,1,,-,,-,2,,369,,784,,123,,151,,179,,
Diphtheria,2015,1,,-,,-,,-,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,1,,-,,-,1,,29,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,1,,-,,-,4,,174,,222,,205,,145,,200,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,1,3,,3,,5,,227,,185,,210,,226,,223,,"NYC (1 ), PA (1 ), OH (1 )"
Hansen disease††,2015,1,,-,,-,2,,52,,81,,82,,82,,98,,
"Hantavirus infection (non-HPS)¶, ††",2015,1,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hantavirus Pulmonary Syndrome (HPS)††,2015,1,,-,,-,0,,25,,21,,30,,23,,20,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,1,1,,1,,4,,219,,329,,274,,290,,266,,NYC (1 )
"Hepatitis B, virus infection perinatal",2015,1,,-,,-,1,,35,,48,,40,,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,1,19,,19,,4,,130,,160,,52,,118,,61,,"OH (2 ), WI (1 ), MN (1 ), IA (2 ), SC (1 ), KY (3 ), TN (1 ), LA (2 ), OK (2 ), CO (1 ), KS (1 ), TX (1 ), VA (1 )"
Leptospirosis††,2015,1,,-,,-,0,,21,,,NN,,NN,,NN,,NN,
Listeriosis,2015,1,5,,5,,13,,661,,735,,727,,870,,821,,"NYC (1 ), OH (1 ), MD (2 ), OR (1 )"
Measles***,2015,1,1,,1,,2,,628,,187,,55,,220,,63,,SD (1 )
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,1,,-,,-,5,,98,,142,,161,,257,,280,,
"Meningococcal disease, invasive†††, serogroup B",2015,1,,-,,-,2,,63,,99,,110,,159,,135,,
"Meningococcal disease, invasive†††, other serogroup",2015,1,,-,,-,1,,19,,17,,20,,20,,12,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,1,3,,3,,9,,222,,298,,260,,323,,406,,"VA (1 ), FL (2 )"
Novel influenza A virus infections§§§,2015,1,,-,,-,11,,3,,21,,313,,14,,4,,
Plague,2015,1,,-,,-,,-,5,,4,,4,,3,,2,,
"Poliomyelitis, paralytic",2015,1,,-,,-,,-,,-,1,,,-,,-,,-,
"Polio virus Infection, nonparalytic,††",2015,1,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis††,2015,1,,-,,-,0,,7,,6,,2,,2,,4,,
"Q fever, total††",2015,1,,-,,-,3,,137,,170,,135,,134,,131,,
"Q fever, acute††",2015,1,,-,,-,2,,111,,137,,113,,110,,106,,
"Q fever, chronic††",2015,1,,-,,-,1,,26,,33,,22,,24,,25,,
"Rabies, human",2015,1,,-,,-,0,,1,,2,,1,,6,,2,,
SARS-CoV††,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,1,3,,3,,5,,194,,224,,194,,168,,142,,"ME (1 ), OH (1 ), NE (1 )"
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,1,,-,,-,6,,306,,348,,322,,360,,377,,
Toxic-shock syndrome (staphylococcal)††,2015,1,,-,,-,2,,49,,71,,65,,78,,82,,
Trichinellosis††,2015,1,,-,,-,0,,15,,22,,18,,15,,7,,
Tularemia,2015,1,,-,,-,1,,150,,203,,149,,166,,124,,
Typhoid fever,2015,1,,-,,-,8,,293,,338,,354,,390,,467,,
Vancomycin-intermediate Staphylococcus aureus††,2015,1,,-,,-,3,,193,,248,,134,,82,,91,,
Vancomycin-resistant Staphylococcus aureus††,2015,1,,-,,-,0,,,-,,-,2,,,-,2,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,1,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,1,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,1,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
