Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
Anthrax,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,1,,-,,-,6,,115,,247,,896,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,1,,-,,-,0,,3,,7,,6,,8,,8,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,1,,-,,-,0,,67,,15,,11,,11,,22,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,1,,-,,-,,-,44,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,1,,-,,-,0,,31,,22,,7,,8,,12,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,1,,-,,-,,-,9,,8,,23,,10,,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2018,1,,-,,-,3,,80,,201,,195,,161,,152,,
"Botulism, foodborne",2018,1,,-,,-,0,,5,,31,,37,,15,,4,,
"Botulism, infant",2018,1,,-,,-,3,,72,,144,,138,,127,,136,,
"Botulism, other (wound and unspecified)",2018,1,,-,,-,0,,3,,26,,20,,19,,12,,
Brucellosis,2018,1,,-,,-,2,,110,,127,,126,,92,,99,,
Chancroid,2018,1,,-,,-,0,,8,,11,,11,,,-,,-,
Cholera,2018,1,,-,,-,0,,4,,15,,5,,5,,14,,
Cyclosporiasis¶,2018,1,,-,,-,2,,1094,,535,,645,,388,,784,,
Diphtheria,2018,1,,-,,-,,-,,-,,-,,-,1,,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,1,,-,,-,1,,23,,30,,29,,40,,31,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,1,,-,,-,5,,119,,196,,175,,128,,141,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,1,,-,,-,2,,143,,159,,135,,266,,233,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,1,3,,3,,5,,244,,187,,167,,39,,34,,"OH (1 ), FL (1 ), OR (1 )"
Hansen's disease¶,2018,1,1,,1,,2,,55,,78,,89,,88,,81,,LA (1 )
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,1,,-,,-,0,,,-,6,,3,,,NN,,NN,
Hantavirus pulmonary syndrome¶ ,2018,1,,-,,-,0,,8,,31,,21,,32,,21,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,1,,-,,-,3,,251,,307,,274,,250,,329,,
"Hepatitis B, perinatal infection",2018,1,,-,,-,1,,19,,32,,37,,47,,48,,
"Influenza-associated pediatric mortality¶,**",2018,1,7,,7,,4,,127,,82,,130,,141,,160,,"PA (1 ), MN (1 ), NC (1 ), FL (1 ), TN (1 ), OR (1 ), CA (1 )"
Leptospirosis¶,2018,1,,-,,-,1,,50,,78,,40,,38,,,NN,
Listeriosis,2018,1,2,,2,,13,,737,,786,,768,,769,,735,,"NYC (1 ), FL (1 )"
Measles††,2018,1,,-,,-,6,,122,,85,,188,,667,,187,,
"Meningococcal disease, Serogroups ACWY",2018,1,,-,,-,3,,66,,126,,120,,123,,142,,
"Meningococcal disease, Serogroup B",2018,1,1,,1,,2,,67,,86,,111,,89,,99,,OH (1 )
"Meningococcal disease, Other serogroups",2018,1,,-,,-,0,,14,,21,,21,,25,,17,,
"Meningococcal disease, Unknown serogroup",2018,1,2,,2,,5,,187,,142,,120,,196,,298,,"MO (1 ), OR (1 )"
Novel Influenza A virus infections§§,2018,1,,-,,-,0,,67,,23,,7,,3,,21,,
Paratyphoid fever¶¶,2018,1,,-,,-,,NA,,NA,,NA,,NA,,NA,,NA,
Plague,2018,1,,-,,-,,-,1,,4,,16,,10,,4,,
"Poliomyelitis, paralytic",2018,1,,-,,-,,-,,-,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic¶",2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,1,,-,,-,0,,3,,12,,4,,8,,6,,
"Q fever¶, total",2018,1,,-,,-,2,,134,,164,,156,,168,,170,,
"Q fever¶, acute",2018,1,,-,,-,2,,103,,132,,122,,132,,137,,
"Q fever¶, chronic",2018,1,,-,,-,1,,31,,32,,34,,36,,33,,
"Rabies, human",2018,1,,-,,-,,-,2,,,-,2,,1,,2,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2018,1,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome¶,2018,1,,-,,-,6,,288,,283,,335,,259,,224,,
"Syphilis, congenital",2018,1,,-,,-,9,,605,,633,,493,,458,,348,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,1,,-,,-,1,,23,,40,,64,,59,,71,,
Trichinellosis¶,2018,1,,-,,-,1,,14,,26,,14,,14,,22,,
Tularemia,2018,1,1,,1,,1,,215,,230,,314,,180,,203,,MO (1 )
Typhoid fever ,2018,1,1,,1,,7,,291,,376,,367,,349,,338,,VA (1 )
Vancomycin-intermediate Staphylococcus aureus¶,2018,1,1,,1,,3,,90,,108,,183,,212,,248,,AZ (1 )
Vancomycin-resistant Staphylococcus aureus¶,2018,1,,-,,-,,-,,-,,-,3,,,-,,-,
