Category: All categories

Month,antivax: (United States),"""anti vaccine"": (United States)","""anti vax"": (United States)","""anti vaxxer"": (United States)","""anti vaccination"": (United States)"
2004-01,0,0,0,0,5
2004-02,0,5,0,0,5
2004-03,0,0,6,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,4,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,4,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,3,0,0,0
2005-02,0,0,0,0,0
2005-03,0,3,0,0,0
2005-04,0,7,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,3,0,0,0
2005-10,0,0,0,0,3
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,2,0,0,0
2006-02,0,0,0,0,2
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,2
2006-06,0,0,0,0,0
2006-07,0,0,0,0,2
2006-08,0,0,0,0,0
2006-09,0,2,0,0,0
2006-10,2,0,0,0,2
2006-11,0,2,0,0,2
2006-12,0,2,0,0,0
2007-01,0,0,0,0,1
2007-02,0,2,0,0,0
2007-03,0,1,0,0,0
2007-04,0,1,0,0,1
2007-05,0,1,0,0,1
2007-06,0,1,0,0,0
2007-07,0,0,0,0,3
2007-08,0,1,0,0,0
2007-09,0,1,0,0,0
2007-10,0,3,1,0,1
2007-11,0,1,0,0,0
2007-12,0,1,0,0,0
2008-01,0,1,0,0,1
2008-02,1,0,0,0,1
2008-03,0,2,0,0,1
2008-04,0,3,0,0,1
2008-05,0,1,0,0,1
2008-06,0,0,0,0,1
2008-07,0,1,0,1,2
2008-08,0,2,0,0,2
2008-09,1,2,0,0,1
2008-10,0,1,0,0,1
2008-11,0,1,0,0,0
2008-12,0,0,0,0,0
2009-01,0,1,0,0,1
2009-02,1,1,0,0,1
2009-03,0,1,0,0,1
2009-04,0,1,1,0,0
2009-05,2,2,1,0,0
2009-06,0,1,0,0,1
2009-07,0,2,0,0,1
2009-08,0,1,0,0,1
2009-09,0,2,0,0,2
2009-10,2,2,0,0,3
2009-11,1,1,1,0,2
2009-12,1,2,0,0,1
2010-01,0,1,0,0,1
2010-02,1,2,0,0,1
2010-03,0,1,0,0,1
2010-04,0,1,0,0,2
2010-05,0,1,0,0,2
2010-06,0,1,0,0,1
2010-07,0,1,1,0,1
2010-08,0,1,1,0,2
2010-09,1,1,1,0,1
2010-10,0,1,0,0,1
2010-11,0,1,0,0,1
2010-12,0,0,0,0,1
2011-01,0,2,0,0,2
2011-02,0,3,2,0,1
2011-03,0,<1,<1,0,<1
2011-04,<1,2,0,0,<1
2011-05,<1,2,0,0,1
2011-06,0,1,0,0,1
2011-07,<1,2,0,0,1
2011-08,0,1,<1,0,1
2011-09,0,2,<1,0,1
2011-10,0,1,1,<1,1
2011-11,0,3,<1,0,1
2011-12,<1,1,<1,0,1
2012-01,<1,2,1,0,<1
2012-02,0,2,0,<1,1
2012-03,<1,1,<1,0,1
2012-04,1,2,1,0,1
2012-05,<1,2,<1,<1,1
2012-06,0,1,<1,<1,2
2012-07,0,2,0,0,1
2012-08,1,1,0,0,<1
2012-09,<1,3,<1,0,2
2012-10,<1,2,0,1,1
2012-11,1,2,0,<1,1
2012-12,1,2,1,0,1
2013-01,<1,2,<1,0,1
2013-02,<1,2,1,0,1
2013-03,0,3,<1,0,2
2013-04,<1,2,<1,<1,1
2013-05,<1,3,<1,<1,1
2013-06,0,4,1,<1,1
2013-07,<1,3,<1,1,1
2013-08,0,3,1,<1,2
2013-09,<1,4,1,1,2
2013-10,<1,4,<1,<1,1
2013-11,<1,4,1,1,1
2013-12,<1,5,0,0,2
2014-01,1,8,1,<1,4
2014-02,1,4,1,<1,4
2014-03,<1,14,3,2,5
2014-04,1,19,2,2,9
2014-05,0,11,1,1,4
2014-06,1,16,3,2,3
2014-07,<1,10,1,1,2
2014-08,1,8,1,1,2
2014-09,2,11,2,1,5
2014-10,1,13,1,2,4
2014-11,1,9,2,1,3
2014-12,1,5,1,1,2
2015-01,2,30,8,8,11
2015-02,4,77,15,16,18
2015-03,2,27,5,5,9
2015-04,1,20,5,8,9
2015-05,1,9,2,3,5
2015-06,1,9,2,2,3
2015-07,1,11,4,4,5
2015-08,1,10,4,4,3
2015-09,1,12,3,4,4
2015-10,1,11,3,3,4
2015-11,1,10,2,5,3
2015-12,<1,8,2,2,1
2016-01,1,8,3,5,2
2016-02,1,8,5,4,3
2016-03,1,11,6,6,5
2016-04,1,11,5,5,4
2016-05,1,9,4,5,2
2016-06,1,6,5,4,2
2016-07,2,9,11,7,3
2016-08,3,10,7,6,2
2016-09,1,9,6,7,4
2016-10,1,10,6,6,4
2016-11,1,12,7,5,4
2016-12,1,5,3,4,3
2017-01,2,18,7,6,3
2017-02,2,11,6,5,4
2017-03,2,7,4,6,2
2017-04,2,13,4,6,3
2017-05,2,13,5,9,4
2017-06,2,9,4,6,2
2017-07,1,8,5,6,3
2017-08,2,9,4,5,2
2017-09,1,6,4,4,3
2017-10,2,10,4,5,3
2017-11,2,11,5,7,2
2017-12,1,6,3,4,3
2018-01,3,8,5,7,3
2018-02,2,8,4,5,4
2018-03,1,6,4,4,2
2018-04,2,9,3,4,3
2018-05,2,6,4,3,1
2018-06,5,12,12,22,3
2018-07,4,8,5,7,2
2018-08,5,10,9,8,2
2018-09,4,9,8,8,2
2018-10,7,12,14,9,4
2018-11,11,14,19,14,7
2018-12,11,12,24,12,6
2019-01,27,15,53,22,7
2019-02,51,30,100,34,11
2019-03,38,31,97,34,13
2019-04,32,25,83,20,16
2019-05,24,18,62,18,9
2019-06,21,15,59,20,6
2019-07,21,8,32,10,3
2019-08,11,9,24,9,2
2019-09,13,12,33,14,5
2019-10,13,10,34,9,6
2019-11,13,8,32,14,6
2019-12,16,11,26,15,9
