Category: All categories

Month,antivax: (United States),anti vax: (United States),Vaccine controversies: (United States),anti vaccine: (United States),vaccine autism: (United States)
2014-01,<1,<1,15,8,17
2014-02,<1,1,9,6,13
2014-03,1,2,21,11,17
2014-04,1,1,28,16,15
2014-05,<1,1,13,9,11
2014-06,<1,1,22,13,9
2014-07,<1,<1,14,10,9
2014-08,<1,1,9,6,17
2014-09,1,1,19,11,18
2014-10,1,1,20,12,15
2014-11,<1,1,11,8,10
2014-12,1,1,9,7,9
2015-01,1,5,41,25,21
2015-02,3,11,100,57,50
2015-03,1,3,38,22,17
2015-04,1,4,34,18,20
2015-05,<1,1,16,9,10
2015-06,<1,2,16,10,13
2015-07,1,3,15,10,11
2015-08,0,3,12,8,9
2015-09,1,2,16,11,16
2015-10,1,2,15,9,12
2015-11,1,2,17,8,13
2015-12,<1,1,9,6,9
2016-01,1,2,11,7,11
2016-02,1,2,14,8,10
2016-03,1,4,17,10,15
2016-04,1,5,17,11,21
2016-05,1,3,14,10,14
2016-06,1,5,9,7,14
2016-07,2,6,13,9,10
2016-08,2,5,11,9,15
2016-09,1,5,15,10,15
2016-10,2,5,14,11,14
2016-11,1,5,15,10,13
2016-12,<1,2,7,6,12
2017-01,1,4,19,15,18
2017-02,1,3,14,9,18
2017-03,1,3,12,8,13
2017-04,1,3,16,11,20
2017-05,1,4,15,13,15
2017-06,1,3,9,9,10
2017-07,1,3,11,8,15
2017-08,1,4,11,9,12
2017-09,1,3,9,6,9
2017-10,2,4,14,10,13
2017-11,1,2,12,9,25
2017-12,1,2,9,6,10
2018-01,1,3,11,10,13
2018-02,1,3,11,8,15
2018-03,1,2,9,8,15
2018-04,1,2,12,9,15
2018-05,1,3,8,6,10
2018-06,3,9,13,10,8
2018-07,2,4,9,8,8
2018-08,3,7,11,9,12
2018-09,2,5,11,9,10
2018-10,5,9,15,12,11
2018-11,8,15,19,13,13
2018-12,8,17,15,10,11
2019-01,18,36,23,17,17
2019-02,34,70,38,28,21
2019-03,26,65,41,29,25
2019-04,22,58,36,25,22
2019-05,16,42,26,21,14
2019-06,17,39,19,15,9
2019-07,14,23,10,10,7
2019-08,7,16,11,9,8
2019-09,10,21,17,13,10
2019-10,10,23,15,9,10
2019-11,10,22,16,11,12
2019-12,9,28,19,13,8
