Category: All categories

Week,antivax: (United States),anti vax: (United States),Vaccine controversies: (United States),anti vaccine: (United States),vaccine autism: (United States)
2019-01-06,11,23,21,12,19
2019-01-13,16,37,23,14,15
2019-01-20,19,39,35,20,23
2019-01-27,40,94,49,34,29
2019-02-03,31,71,46,29,26
2019-02-10,49,92,53,36,28
2019-02-17,39,74,44,29,25
2019-02-24,37,96,50,39,24
2019-03-03,38,100,67,58,50
2019-03-10,36,86,52,42,25
2019-03-17,25,72,44,25,21
2019-03-24,32,65,45,29,27
2019-03-31,29,67,37,23,25
2019-04-07,20,64,47,26,24
2019-04-14,22,59,38,25,24
2019-04-21,36,97,38,36,28
2019-04-28,32,75,44,33,24
2019-05-05,22,65,37,32,20
2019-05-12,16,45,40,28,21
2019-05-19,21,40,21,21,14
2019-05-26,14,30,18,16,13
2019-06-02,13,37,16,12,7
2019-06-09,23,85,32,30,14
2019-06-16,13,36,17,15,7
2019-06-23,14,36,18,17,10
2019-06-30,11,30,11,11,8
2019-07-07,11,20,13,8,11
2019-07-14,37,32,12,9,8
2019-07-21,13,27,11,9,7
2019-07-28,7,26,9,8,7
2019-08-04,6,19,15,13,9
2019-08-11,3,13,10,9,9
2019-08-18,8,16,13,9,9
2019-08-25,9,21,20,12,8
2019-09-01,8,23,15,12,10
2019-09-08,10,24,19,16,14
2019-09-15,12,33,22,20,10
2019-09-22,13,29,18,14,10
2019-09-29,11,26,27,17,15
2019-10-06,13,30,23,14,14
2019-10-13,11,33,16,11,11
2019-10-20,14,26,19,13,15
2019-10-27,20,40,19,19,17
2019-11-03,14,29,19,15,15
2019-11-10,9,23,22,15,14
2019-11-17,13,25,20,12,17
2019-11-24,12,20,15,7,10
